scene_name,video_num,frame_num,PSNR
flame_salmon_1,0,261,29.2371
flame_salmon_1,0,262,29.1908
flame_salmon_1,0,263,29.1942
flame_salmon_1,0,264,29.1962
flame_salmon_1,0,265,29.1753
flame_salmon_1,0,266,29.1673
flame_salmon_1,0,267,29.1727
flame_salmon_1,0,268,29.1708
flame_salmon_1,0,269,29.2533
flame_salmon_1,0,270,29.215
flame_salmon_1,0,271,29.2934
flame_salmon_1,0,272,29.3139
flame_salmon_1,0,273,29.3678
flame_salmon_1,0,274,29.2838
flame_salmon_1,0,275,29.2947
flame_salmon_1,0,276,29.3022
flame_salmon_1,0,277,29.1967
flame_salmon_1,0,278,29.0383
flame_salmon_1,0,279,29.0589
flame_salmon_1,0,280,29.095
flame_salmon_1,0,281,29.0751
flame_salmon_1,0,282,29.0384
flame_salmon_1,0,283,29.0252
flame_salmon_1,0,284,29.0448
flame_salmon_1,0,285,29.0882
flame_salmon_1,0,286,29.159
flame_salmon_1,0,287,29.2755
flame_salmon_1,0,288,29.2542
flame_salmon_1,0,289,29.317
flame_salmon_1,0,290,29.2746
flame_salmon_1,0,291,29.3396
flame_salmon_1,0,292,29.3227
flame_salmon_1,0,293,29.3209
flame_salmon_1,0,294,29.2613
flame_salmon_1,0,295,29.2685
flame_salmon_1,0,296,29.2746
flame_salmon_1,0,297,29.2327
flame_salmon_1,0,298,29.1182
flame_salmon_1,0,299,29.0275
