scene_name,video_num,frame_num,MS_SSIM
Train,5,175,0.8593824505805969
Train,5,176,0.8592942953109741
Train,5,177,0.8595018982887268
Train,5,178,0.8595967888832092
Train,5,179,0.8598471879959106
Train,5,180,0.8593199849128723
Train,5,181,0.8600354194641113
Train,5,182,0.8603162169456482
Train,5,183,0.8606119751930237
Train,5,184,0.859677791595459
Train,5,185,0.8588686585426331
Train,5,186,0.8581591248512268
Train,5,187,0.8582673668861389
Train,5,188,0.8582369685173035
Train,5,189,0.8584731817245483
Train,5,190,0.8584855794906616
Train,5,191,0.8593475818634033
Train,5,192,0.8596141338348389
Train,5,193,0.8601306676864624
Train,5,194,0.8601018786430359
Train,5,195,0.8601427674293518
Train,5,196,0.860186755657196
Train,5,197,0.8603096604347229
Train,5,198,0.8602487444877625
Train,5,199,0.8604022264480591
